Cosmopolitan,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,Alcoholic,Cocktail glass,"Vodka,Lime juice,Cointreau,Cranberry juice",https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
Coffee-Vodka,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",Alcoholic,Collins Glass,"Water,Sugar,Coffee,Vanilla,Vodka,Caramel coloring",https://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg
Casino Royale,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Alcoholic,Whiskey sour glass,"Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk",https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg
Corpse Reviver,"Shake, strain, straight up, cocktail glass rinsed with absinthe
",Alcoholic,Cocktail glass,"Gin,Triple Sec,Lillet Blanc,Lemon Juice,Absinthe",https://www.thecocktaildb.com/images/media/drink/gifgao1513704334.jpg
Chocolate Milk,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",Alcoholic,Shot Glass,"Chocolate liqueur,Milk,Amaretto",https://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg
Clove Cocktail,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Cocktail glass,"Sweet Vermouth,Sloe gin,Wine",https://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg
Coffee Liqueur,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",Alcoholic,Collins Glass,"Coffee,Vanilla extract,Sugar,Vodka,Water",https://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg
Coke and Drops,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",Non alcoholic,Cocktail glass,"Coca-Cola,Lemon juice",https://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg
Chocolate Drink,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",Non alcoholic,Coffee mug,"Chocolate,Milk,Water",https://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg
Cranberry Punch,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",Non alcoholic,Punch Bowl,"Cranberry juice,Sugar,Pineapple juice,Almond flavoring,Ginger ale",https://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg
Derby,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,Alcoholic,Cocktail glass,"gin,Peach Bitters,Mint",https://www.thecocktaildb.com/images/media/drink/52weey1606772672.jpg
Diesel,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,Alcoholic,Pint glass,"Lager,Cider,Blackcurrant cordial",https://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg
Daiquiri,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Alcoholic,Cocktail glass,"Light rum,Lime,Powdered sugar",https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg
Danbooka,pour it in and mix it.,Alcoholic,Coffee Mug,"Coffee,Everclear",https://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg
Downshift,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",Alcoholic,Hurricane glass,"Fruit punch,Sprite,Tequila,151 proof rum",https://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg
Dragonfly,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",Alcoholic,Highball glass,"Gin,Ginger ale,Lime",https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg
Dry Martini,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",Alcoholic,Cocktail glass,"Gin,Dry Vermouth,Olive",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg
